,instant,dteday,season,year,month,holiday,one_of_week,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr
0,1,2011-01-01,Spring,2011,Jan,0,Saturday,Misty,0.344167,0.363625,805833.0000000001,0.160446,331,654,985
1,2,2011-01-02,Spring,2011,Jan,0,Sunday,Misty,0.363478,0.353739,696087.0,0.248539,131,670,801
2,3,2011-01-03,Spring,2011,Jan,0,Monday,Clear,0.196364,0.189405,437272.99999999994,0.248309,120,1229,1349
3,4,2011-01-04,Spring,2011,Jan,0,Tuesday,Clear,0.2,0.212122,590435.0,0.160296,108,1454,1562
4,5,2011-01-05,Spring,2011,Jan,0,Wednesday,Clear,0.226957,0.22927,436957.0,0.1869,82,1518,1600
5,6,2011-01-06,Spring,2011,Jan,0,Thursday,Clear,0.204348,0.233209,518260.99999999994,0.0895652,88,1518,1606
6,7,2011-01-07,Spring,2011,Jan,0,Friday,Misty,0.196522,0.208839,498696.0,0.168726,148,1362,1510
7,8,2011-01-08,Spring,2011,Jan,0,Saturday,Misty,0.165,0.162254,535833.0,0.266804,68,891,959
8,9,2011-01-09,Spring,2011,Jan,0,Sunday,Clear,0.138333,0.116175,434167.0000000001,0.36195,54,768,822
9,10,2011-01-10,Spring,2011,Jan,0,Monday,Clear,0.150833,0.150888,482917.0,0.223267,41,1280,1321
10,11,2011-01-11,Spring,2011,Jan,0,Tuesday,Misty,0.169091,0.191464,686364.0,0.122132,43,1220,1263
11,12,2011-01-12,Spring,2011,Jan,0,Wednesday,Clear,0.172727,0.160473,599545.0,0.304627,25,1137,1162
12,13,2011-01-13,Spring,2011,Jan,0,Thursday,Clear,0.165,0.150883,470417.0,0.301,38,1368,1406
13,14,2011-01-14,Spring,2011,Jan,0,Friday,Clear,0.16087,0.188413,537826.0,0.126548,54,1367,1421
14,15,2011-01-15,Spring,2011,Jan,0,Saturday,Misty,0.233333,0.248112,498750.0,0.157963,222,1026,1248
15,16,2011-01-16,Spring,2011,Jan,0,Sunday,Clear,0.231667,0.234217,483750.0,0.188433,251,953,1204
16,17,2011-01-17,Spring,2011,Jan,1,Monday,Misty,0.175833,0.176771,537500.0,0.194017,117,883,1000
17,18,2011-01-18,Spring,2011,Jan,0,Tuesday,Misty,0.216667,0.232333,861666.9999999998,0.146775,9,674,683
18,19,2011-01-19,Spring,2011,Jan,0,Wednesday,Misty,0.292174,0.298422,741739.0,0.208317,78,1572,1650
19,20,2011-01-20,Spring,2011,Jan,0,Thursday,Misty,0.261667,0.25505,538332.9999999999,0.195904,83,1844,1927
20,21,2011-01-21,Spring,2011,Jan,0,Friday,Clear,0.1775,0.157833,457083.0,0.353242,75,1468,1543
21,22,2011-01-22,Spring,2011,Jan,0,Saturday,Clear,0.0591304,0.0790696,400000.0,0.17197,93,888,981
22,23,2011-01-23,Spring,2011,Jan,0,Sunday,Clear,0.0965217,0.0988391,436522.0,0.2466,150,836,986
23,24,2011-01-24,Spring,2011,Jan,0,Monday,Clear,0.0973913,0.11793,491738.99999999994,0.15833,86,1330,1416
24,25,2011-01-25,Spring,2011,Jan,0,Tuesday,Misty,0.223478,0.234526,616957.0,0.129796,186,1799,1985
25,26,2011-01-26,Spring,2011,Jan,0,Wednesday,Light_rainsnow,0.2175,0.2036,862500.0,0.29385,34,472,506
26,27,2011-01-27,Spring,2011,Jan,0,Thursday,Clear,0.195,0.2197,687500.0,0.113837,15,416,431
27,28,2011-01-28,Spring,2011,Jan,0,Friday,Misty,0.203478,0.223317,793043.0000000001,0.1233,38,1129,1167
28,29,2011-01-29,Spring,2011,Jan,0,Saturday,Clear,0.196522,0.212126,651738.9999999999,0.145365,123,975,1098
29,30,2011-01-30,Spring,2011,Jan,0,Sunday,Clear,0.216522,0.250322,722174.0,0.0739826,140,956,1096
30,31,2011-01-31,Spring,2011,Jan,0,Monday,Misty,0.180833,0.18625,603750.0,0.187192,42,1459,1501
31,32,2011-02-01,Spring,2011,Feb,0,Tuesday,Misty,0.192174,0.23453,829565.0000000001,0.053213,47,1313,1360
32,33,2011-02-02,Spring,2011,Feb,0,Wednesday,Misty,0.26,0.254417,775417.0000000001,0.264308,72,1454,1526
